date,areaType,areaCode,areaName,metric,age,value,rate
04/09/2020,nation,W92000004,Wales,femaleCases,30_to_34,843,828.8
04/09/2020,nation,W92000004,Wales,maleCases,30_to_34,459,430.8
04/09/2020,nation,W92000004,Wales,femaleCases,35_to_39,824,852.2
04/09/2020,nation,W92000004,Wales,maleCases,35_to_39,446,463.3
04/09/2020,nation,W92000004,Wales,femaleCases,40_to_44,841,899.4
04/09/2020,nation,W92000004,Wales,maleCases,40_to_44,426,466.0
04/09/2020,nation,W92000004,Wales,femaleCases,45_to_49,1092,1271.3
04/09/2020,nation,W92000004,Wales,maleCases,45_to_49,502,600.0
04/09/2020,nation,W92000004,Wales,femaleCases,5_to_9,44,39.4
04/09/2020,nation,W92000004,Wales,maleCases,5_to_9,37,34.9
04/09/2020,nation,W92000004,Wales,femaleCases,50_to_54,1218,1193.0
04/09/2020,nation,W92000004,Wales,maleCases,50_to_54,565,582.6
04/09/2020,nation,W92000004,Wales,femaleCases,55_to_59,1073,948.0
04/09/2020,nation,W92000004,Wales,maleCases,55_to_59,597,556.4
04/09/2020,nation,W92000004,Wales,femaleCases,60_to_64,650,656.9
04/09/2020,nation,W92000004,Wales,maleCases,60_to_64,413,439.8
04/09/2020,nation,W92000004,Wales,femaleCases,65_to_69,311,332.3
04/09/2020,nation,W92000004,Wales,maleCases,65_to_69,315,355.7
04/09/2020,nation,W92000004,Wales,femaleCases,70_to_74,312,336.8
04/09/2020,nation,W92000004,Wales,maleCases,70_to_74,408,470.9
04/09/2020,nation,W92000004,Wales,femaleCases,75_to_79,399,593.0
04/09/2020,nation,W92000004,Wales,maleCases,75_to_79,495,831.9
04/09/2020,nation,W92000004,Wales,femaleCases,80_to_84,499,996.6
04/09/2020,nation,W92000004,Wales,maleCases,80_to_84,489,1231.7
04/09/2020,nation,W92000004,Wales,femaleCases,85_to_89,598,1841.0
04/09/2020,nation,W92000004,Wales,maleCases,85_to_89,417,1949.0
04/09/2020,nation,W92000004,Wales,femaleCases,90+,673,3231.7
04/09/2020,nation,W92000004,Wales,maleCases,90+,304,3136.9
06/09/2020,nation,W92000004,Wales,femaleCases,0_to_4,39,48.2
06/09/2020,nation,W92000004,Wales,maleCases,0_to_4,49,57.9
06/09/2020,nation,W92000004,Wales,femaleCases,10_to_14,41,45.8
06/09/2020,nation,W92000004,Wales,maleCases,10_to_14,59,62.6
06/09/2020,nation,W92000004,Wales,femaleCases,15_to_19,183,207.7
06/09/2020,nation,W92000004,Wales,maleCases,15_to_19,165,178.0
06/09/2020,nation,W92000004,Wales,femaleCases,20_to_24,725,872.6
06/09/2020,nation,W92000004,Wales,maleCases,20_to_24,302,338.2
06/09/2020,nation,W92000004,Wales,femaleCases,25_to_29,987,1027.5
06/09/2020,nation,W92000004,Wales,maleCases,25_to_29,506,475.8
06/09/2020,nation,W92000004,Wales,femaleCases,30_to_34,849,834.7
06/09/2020,nation,W92000004,Wales,maleCases,30_to_34,461,432.7
06/09/2020,nation,W92000004,Wales,femaleCases,35_to_39,829,857.4
06/09/2020,nation,W92000004,Wales,maleCases,35_to_39,452,469.5
06/09/2020,nation,W92000004,Wales,femaleCases,40_to_44,848,906.9
06/09/2020,nation,W92000004,Wales,maleCases,40_to_44,434,474.8
06/09/2020,nation,W92000004,Wales,femaleCases,45_to_49,1094,1273.7
06/09/2020,nation,W92000004,Wales,maleCases,45_to_49,508,607.2
06/09/2020,nation,W92000004,Wales,femaleCases,5_to_9,44,39.4
06/09/2020,nation,W92000004,Wales,maleCases,5_to_9,39,36.8
06/09/2020,nation,W92000004,Wales,femaleCases,50_to_54,1222,1197.0
06/09/2020,nation,W92000004,Wales,maleCases,50_to_54,571,588.8
06/09/2020,nation,W92000004,Wales,femaleCases,55_to_59,1079,953.3
06/09/2020,nation,W92000004,Wales,maleCases,55_to_59,601,560.2
06/09/2020,nation,W92000004,Wales,femaleCases,60_to_64,654,660.9
06/09/2020,nation,W92000004,Wales,maleCases,60_to_64,413,439.8
06/09/2020,nation,W92000004,Wales,femaleCases,65_to_69,314,335.5
06/09/2020,nation,W92000004,Wales,maleCases,65_to_69,316,356.8
06/09/2020,nation,W92000004,Wales,femaleCases,70_to_74,313,337.8
06/09/2020,nation,W92000004,Wales,maleCases,70_to_74,409,472.1
06/09/2020,nation,W92000004,Wales,femaleCases,75_to_79,399,593.0
06/09/2020,nation,W92000004,Wales,maleCases,75_to_79,496,833.6
06/09/2020,nation,W92000004,Wales,femaleCases,80_to_84,499,996.6
06/09/2020,nation,W92000004,Wales,maleCases,80_to_84,491,1236.7
06/09/2020,nation,W92000004,Wales,femaleCases,85_to_89,598,1841.0
06/09/2020,nation,W92000004,Wales,maleCases,85_to_89,417,1949.0
06/09/2020,nation,W92000004,Wales,femaleCases,90+,673,3231.7
06/09/2020,nation,W92000004,Wales,maleCases,90+,305,3147.3
09/09/2020,nation,W92000004,Wales,femaleCases,0_to_4,44,54.4
09/09/2020,nation,W92000004,Wales,maleCases,0_to_4,54,63.8
09/09/2020,nation,W92000004,Wales,femaleCases,10_to_14,47,52.5
09/09/2020,nation,W92000004,Wales,maleCases,10_to_14,64,67.9
09/09/2020,nation,W92000004,Wales,femaleCases,15_to_19,199,225.9
09/09/2020,nation,W92000004,Wales,maleCases,15_to_19,177,190.9
09/09/2020,nation,W92000004,Wales,femaleCases,20_to_24,745,896.7
09/09/2020,nation,W92000004,Wales,maleCases,20_to_24,321,359.5
09/09/2020,nation,W92000004,Wales,femaleCases,25_to_29,1011,1052.5
09/09/2020,nation,W92000004,Wales,maleCases,25_to_29,526,494.6
09/09/2020,nation,W92000004,Wales,femaleCases,30_to_34,878,863.2
09/09/2020,nation,W92000004,Wales,maleCases,30_to_34,483,453.3
09/09/2020,nation,W92000004,Wales,femaleCases,35_to_39,848,877.1
09/09/2020,nation,W92000004,Wales,maleCases,35_to_39,472,490.3
09/09/2020,nation,W92000004,Wales,femaleCases,40_to_44,864,924.0
09/09/2020,nation,W92000004,Wales,maleCases,40_to_44,453,495.5
09/09/2020,nation,W92000004,Wales,femaleCases,45_to_49,1110,1292.3
09/09/2020,nation,W92000004,Wales,maleCases,45_to_49,519,620.4
09/09/2020,nation,W92000004,Wales,femaleCases,5_to_9,50,44.8
09/09/2020,nation,W92000004,Wales,maleCases,5_to_9,45,42.5
09/09/2020,nation,W92000004,Wales,femaleCases,50_to_54,1240,1214.6
09/09/2020,nation,W92000004,Wales,maleCases,50_to_54,581,599.1
09/09/2020,nation,W92000004,Wales,femaleCases,55_to_59,1096,968.3
09/09/2020,nation,W92000004,Wales,maleCases,55_to_59,615,573.2
09/09/2020,nation,W92000004,Wales,femaleCases,60_to_64,665,672.0
09/09/2020,nation,W92000004,Wales,maleCases,60_to_64,423,450.5
09/09/2020,nation,W92000004,Wales,femaleCases,65_to_69,320,342.0
09/09/2020,nation,W92000004,Wales,maleCases,65_to_69,318,359.1
09/09/2020,nation,W92000004,Wales,femaleCases,70_to_74,319,344.3
09/09/2020,nation,W92000004,Wales,maleCases,70_to_74,418,482.5
09/09/2020,nation,W92000004,Wales,femaleCases,75_to_79,402,597.5
09/09/2020,nation,W92000004,Wales,maleCases,75_to_79,499,838.6
09/09/2020,nation,W92000004,Wales,femaleCases,80_to_84,501,1000.6
09/09/2020,nation,W92000004,Wales,maleCases,80_to_84,494,1244.3
09/09/2020,nation,W92000004,Wales,femaleCases,85_to_89,600,1847.2
09/09/2020,nation,W92000004,Wales,maleCases,85_to_89,418,1953.6
09/09/2020,nation,W92000004,Wales,femaleCases,90+,673,3231.7
09/09/2020,nation,W92000004,Wales,maleCases,90+,307,3167.9
14/09/2020,nation,W92000004,Wales,femaleCases,0_to_4,58,71.7
14/09/2020,nation,W92000004,Wales,maleCases,0_to_4,67,79.1
14/09/2020,nation,W92000004,Wales,femaleCases,10_to_14,65,72.6
14/09/2020,nation,W92000004,Wales,maleCases,10_to_14,86,91.3
14/09/2020,nation,W92000004,Wales,femaleCases,15_to_19,240,272.4
14/09/2020,nation,W92000004,Wales,maleCases,15_to_19,213,229.7
14/09/2020,nation,W92000004,Wales,femaleCases,20_to_24,791,952.1
14/09/2020,nation,W92000004,Wales,maleCases,20_to_24,371,415.5
14/09/2020,nation,W92000004,Wales,femaleCases,25_to_29,1064,1107.7
14/09/2020,nation,W92000004,Wales,maleCases,25_to_29,571,536.9
14/09/2020,nation,W92000004,Wales,femaleCases,30_to_34,915,899.6
14/09/2020,nation,W92000004,Wales,maleCases,30_to_34,530,497.5
14/09/2020,nation,W92000004,Wales,femaleCases,35_to_39,881,911.2
14/09/2020,nation,W92000004,Wales,maleCases,35_to_39,505,524.6
14/09/2020,nation,W92000004,Wales,femaleCases,40_to_44,899,961.4
14/09/2020,nation,W92000004,Wales,maleCases,40_to_44,472,516.3
14/09/2020,nation,W92000004,Wales,femaleCases,45_to_49,1149,1337.7
14/09/2020,nation,W92000004,Wales,maleCases,45_to_49,556,664.6
14/09/2020,nation,W92000004,Wales,femaleCases,5_to_9,64,57.3
14/09/2020,nation,W92000004,Wales,maleCases,5_to_9,65,61.4
14/09/2020,nation,W92000004,Wales,femaleCases,50_to_54,1294,1267.5
14/09/2020,nation,W92000004,Wales,maleCases,50_to_54,612,631.1
