Area,Date,Total_Cases,Daily_Cases
Swansea,12/04/2020,500,44
Torfaen,12/04/2020,218,8
Vale of Glamorgan,12/04/2020,304,21
Wrexham,12/04/2020,87,8
Anglesey,13/04/2020,27,2
Blaenau Gwent,13/04/2020,170,4
Bridgend,13/04/2020,206,9
Caerphilly,13/04/2020,391,12
Cardiff,13/04/2020,1056,54
Carmarthenshire,13/04/2020,252,10
Ceredigion,13/04/2020,28,2
Conwy,13/04/2020,57,6
Denbighshire,13/04/2020,109,16
Flintshire,13/04/2020,113,7
Gwynedd,13/04/2020,65,9
Merthyr Tydfil,13/04/2020,123,5
Monmouthshire,13/04/2020,177,6
Neath Port Talbot,13/04/2020,258,28
Newport,13/04/2020,536,17
Pembrokeshire,13/04/2020,102,8
Powys,13/04/2020,89,14
Rhondda Cynon Taf,13/04/2020,562,18
Swansea,13/04/2020,548,49
Torfaen,13/04/2020,226,9
Vale of Glamorgan,13/04/2020,324,20
Wrexham,13/04/2020,92,5
Anglesey,14/04/2020,28,1
Blaenau Gwent,14/04/2020,180,10
Bridgend,14/04/2020,221,15
Caerphilly,14/04/2020,407,16
Cardiff,14/04/2020,1091,35
Carmarthenshire,14/04/2020,269,17
Ceredigion,14/04/2020,28,0
Conwy,14/04/2020,59,2
Denbighshire,14/04/2020,111,2
Flintshire,14/04/2020,117,4
Gwynedd,14/04/2020,66,1
Merthyr Tydfil,14/04/2020,127,4
Monmouthshire,14/04/2020,182,5
Neath Port Talbot,14/04/2020,267,9
Newport,14/04/2020,550,14
Pembrokeshire,14/04/2020,118,16
Powys,14/04/2020,94,5
Rhondda Cynon Taf,14/04/2020,607,45
Swansea,14/04/2020,566,18
Torfaen,14/04/2020,231,5
Vale of Glamorgan,14/04/2020,329,5
Wrexham,14/04/2020,96,4
Anglesey,15/04/2020,31,3
Blaenau Gwent,15/04/2020,183,3
Bridgend,15/04/2020,233,12
Caerphilly,15/04/2020,417,10
Cardiff,15/04/2020,1129,38
Carmarthenshire,15/04/2020,285,16
Ceredigion,15/04/2020,30,2
Conwy,15/04/2020,74,15
Denbighshire,15/04/2020,124,13
Flintshire,15/04/2020,129,12
Gwynedd,15/04/2020,82,16
Merthyr Tydfil,15/04/2020,132,5
Monmouthshire,15/04/2020,185,3
Neath Port Talbot,15/04/2020,286,19
Newport,15/04/2020,554,4
Pembrokeshire,15/04/2020,128,10
Powys,15/04/2020,96,2
Rhondda Cynon Taf,15/04/2020,623,16
Swansea,15/04/2020,610,44
Torfaen,15/04/2020,231,0
Vale of Glamorgan,15/04/2020,342,13
Wrexham,15/04/2020,104,9
Anglesey,16/04/2020,36,5
Blaenau Gwent,16/04/2020,193,10
Bridgend,16/04/2020,250,17
Caerphilly,16/04/2020,426,9
Cardiff,16/04/2020,1184,55
Carmarthenshire,16/04/2020,295,10
Ceredigion,16/04/2020,31,1
Conwy,16/04/2020,80,6
Denbighshire,16/04/2020,133,9
Flintshire,16/04/2020,133,4
Gwynedd,16/04/2020,103,21
Merthyr Tydfil,16/04/2020,136,4
Monmouthshire,16/04/2020,191,6
Neath Port Talbot,16/04/2020,295,9
Newport,16/04/2020,565,11
Pembrokeshire,16/04/2020,130,2
Powys,16/04/2020,103,7
Rhondda Cynon Taf,16/04/2020,660,37
Swansea,16/04/2020,640,30
Torfaen,16/04/2020,234,3
Vale of Glamorgan,16/04/2020,360,18
Wrexham,16/04/2020,109,5
Anglesey,17/04/2020,39,3
Blaenau Gwent,17/04/2020,196,3
Bridgend,17/04/2020,269,20
Caerphilly,17/04/2020,434,8
Cardiff,17/04/2020,1231,44
Carmarthenshire,17/04/2020,310,15
Ceredigion,17/04/2020,31,0
Conwy,17/04/2020,84,4
Denbighshire,17/04/2020,136,3
Flintshire,17/04/2020,140,7
Gwynedd,17/04/2020,113,9
Merthyr Tydfil,17/04/2020,141,5
Monmouthshire,17/04/2020,195,4
Neath Port Talbot,17/04/2020,306,11
Newport,17/04/2020,576,10
Pembrokeshire,17/04/2020,134,4
Powys,17/04/2020,109,6
Rhondda Cynon Taf,17/04/2020,686,26
Swansea,17/04/2020,665,24
Torfaen,17/04/2020,238,4
Vale of Glamorgan,17/04/2020,378,17
Wrexham,17/04/2020,123,14
Anglesey,18/04/2020,39,0
Blaenau Gwent,18/04/2020,207,11
Bridgend,18/04/2020,278,9
Caerphilly,18/04/2020,446,12
Cardiff,18/04/2020,1278,47
Carmarthenshire,18/04/2020,320,10
Ceredigion,18/04/2020,31,0
Conwy,18/04/2020,92,8
Denbighshire,18/04/2020,153,17
Flintshire,18/04/2020,147,7
Gwynedd,18/04/2020,119,7
Merthyr Tydfil,18/04/2020,159,18
Monmouthshire,18/04/2020,200,5
Neath Port Talbot,18/04/2020,324,18
Newport,18/04/2020,583,7
Pembrokeshire,18/04/2020,141,7
Powys,18/04/2020,118,9
Rhondda Cynon Taf,18/04/2020,709,23
Swansea,18/04/2020,698,34
Torfaen,18/04/2020,252,14
Vale of Glamorgan,18/04/2020,393,15
Wrexham,18/04/2020,129,6
Anglesey,19/04/2020,45,6
Blaenau Gwent,19/04/2020,216,9
Bridgend,19/04/2020,295,17
Caerphilly,19/04/2020,463,17
Cardiff,19/04/2020,1322,44
Carmarthenshire,19/04/2020,325,5
Ceredigion,19/04/2020,33,2
Conwy,19/04/2020,105,13
Denbighshire,19/04/2020,161,8
Flintshire,19/04/2020,157,10
Gwynedd,19/04/2020,130,11
Merthyr Tydfil,19/04/2020,163,4
Monmouthshire,19/04/2020,203,3
Neath Port Talbot,19/04/2020,349,25
Newport,19/04/2020,592,9
Pembrokeshire,19/04/2020,146,5
Powys,19/04/2020,121,3
Rhondda Cynon Taf,19/04/2020,777,68
Swansea,19/04/2020,732,34
Torfaen,19/04/2020,259,7
Vale of Glamorgan,19/04/2020,405,12
Wrexham,19/04/2020,143,14
Anglesey,20/04/2020,45,0
Blaenau Gwent,20/04/2020,224,8
Bridgend,20/04/2020,306,11
Caerphilly,20/04/2020,475,12
Cardiff,20/04/2020,1365,43
Carmarthenshire,20/04/2020,350,25
Ceredigion,20/04/2020,33,0
Conwy,20/04/2020,108,3
Denbighshire,20/04/2020,165,4
Flintshire,20/04/2020,164,7
Gwynedd,20/04/2020,140,10
Merthyr Tydfil,20/04/2020,176,13
Monmouthshire,20/04/2020,210,7
Neath Port Talbot,20/04/2020,368,19
Newport,20/04/2020,598,6
Pembrokeshire,20/04/2020,150,4
Powys,20/04/2020,123,2
Rhondda Cynon Taf,20/04/2020,804,27
Swansea,20/04/2020,765,33
Torfaen,20/04/2020,267,8
Vale of Glamorgan,20/04/2020,417,12
Wrexham,20/04/2020,160,17
Anglesey,21/04/2020,49,4
Blaenau Gwent,21/04/2020,235,11
Bridgend,21/04/2020,316,10
Caerphilly,21/04/2020,497,22
Cardiff,21/04/2020,1403,37
Carmarthenshire,21/04/2020,361,11
Ceredigion,21/04/2020,33,0
Conwy,21/04/2020,124,16
Denbighshire,21/04/2020,179,14
Flintshire,21/04/2020,171,7
Gwynedd,21/04/2020,145,5
Merthyr Tydfil,21/04/2020,192,16
Monmouthshire,21/04/2020,214,4
Neath Port Talbot,21/04/2020,384,16
Newport,21/04/2020,614,16
Pembrokeshire,21/04/2020,160,10
Powys,21/04/2020,128,5
Rhondda Cynon Taf,21/04/2020,839,35
