Area,Date,Total_Cases,Daily_Cases
Blaenau Gwent,10/05/2020,306,4
Bridgend,10/05/2020,445,7
Caerphilly,10/05/2020,634,6
Cardiff,10/05/2020,1830,21
Carmarthenshire,10/05/2020,547,26
Ceredigion,10/05/2020,38,0
Conwy,10/05/2020,296,12
Denbighshire,10/05/2020,340,25
Flintshire,10/05/2020,312,4
Gwynedd,10/05/2020,292,15
Merthyr Tydfil,10/05/2020,308,8
Monmouthshire,10/05/2020,283,6
Neath Port Talbot,10/05/2020,523,1
Newport,10/05/2020,770,15
Pembrokeshire,10/05/2020,248,3
Powys,10/05/2020,204,5
Rhondda Cynon Taf,10/05/2020,1268,28
Swansea,10/05/2020,1156,10
Torfaen,10/05/2020,311,2
Vale of Glamorgan,10/05/2020,572,5
Wrexham,10/05/2020,344,3
Anglesey,11/05/2020,130,3
Blaenau Gwent,11/05/2020,310,4
Bridgend,11/05/2020,448,3
Caerphilly,11/05/2020,635,1
Cardiff,11/05/2020,1842,12
Carmarthenshire,11/05/2020,558,11
Ceredigion,11/05/2020,38,0
Conwy,11/05/2020,305,9
Denbighshire,11/05/2020,358,8
Flintshire,11/05/2020,317,5
Gwynedd,11/05/2020,202,11
Merthyr Tydfil,11/05/2020,310,2
Monmouthshire,11/05/2020,286,3
Neath Port Talbot,11/05/2020,527,4
Newport,11/05/2020,777,7
Pembrokeshire,11/05/2020,251,3
Powys,11/05/2020,209,5
Rhondda Cynon Taf,11/05/2020,1280,12
Swansea,11/05/2020,1164,8
Torfaen,11/05/2020,311,0
Vale of Glamorgan,11/05/2020,575,3
Wrexham,11/05/2020,352,8
Anglesey,12/05/2020,131,1
Blaenau Gwent,12/05/2020,313,3
Bridgend,12/05/2020,455,7
Caerphilly,12/05/2020,636,1
Cardiff,12/05/2020,1860,8
Carmarthenshire,12/05/2020,563,5
Ceredigion,12/05/2020,38,0
Conwy,12/05/2020,312,7
Denbighshire,12/05/2020,353,4
Flintshire,12/05/2020,319,1
Gwynedd,12/05/2020,308,5
Merthyr Tydfil,12/05/2020,314,4
Monmouthshire,12/05/2020,288,2
Neath Port Talbot,12/05/2020,535,8
Newport,12/05/2020,791,14
Pembrokeshire,12/05/2020,251,0
Powys,12/05/2020,216,7
Rhondda Cynon Taf,12/05/2020,1301,20
Swansea,12/05/2020,1167,3
Torfaen,12/05/2020,312,1
Vale of Glamorgan,12/05/2020,576,1
Wrexham,12/05/2020,354,2
Anglesey,13/05/2020,135,4
Blaenau Gwent,13/05/2020,313,0
Bridgend,13/05/2020,458,3
Caerphilly,13/05/2020,636,0
Cardiff,13/05/2020,1858,8
Carmarthenshire,13/05/2020,570,7
Ceredigion,13/05/2020,38,0
Conwy,13/05/2020,315,3
Denbighshire,13/05/2020,361,8
Flintshire,13/05/2020,358,39
Gwynedd,13/05/2020,313,5
Merthyr Tydfil,13/05/2020,314,0
Monmouthshire,13/05/2020,288,0
Neath Port Talbot,13/05/2020,540,5
Newport,13/05/2020,791,0
Pembrokeshire,13/05/2020,255,4
Powys,13/05/2020,226,10
Rhondda Cynon Taf,13/05/2020,1313,12
Swansea,13/05/2020,1177,10
Torfaen,13/05/2020,314,2
Vale of Glamorgan,13/05/2020,576,0
Wrexham,13/05/2020,365,11
Anglesey,14/05/2020,141,6
Blaenau Gwent,14/05/2020,314,1
Bridgend,14/05/2020,466,8
Caerphilly,14/05/2020,638,2
Cardiff,14/05/2020,1871,13
Carmarthenshire,14/05/2020,572,2
Ceredigion,14/05/2020,38,0
Conwy,14/05/2020,324,9
Denbighshire,14/05/2020,370,9
Flintshire,14/05/2020,363,4
Gwynedd,14/05/2020,317,4
Merthyr Tydfil,14/05/2020,316,2
Monmouthshire,14/05/2020,292,4
Neath Port Talbot,14/05/2020,543,3
Newport,14/05/2020,794,3
Pembrokeshire,14/05/2020,255,0
Powys,14/05/2020,227,1
Rhondda Cynon Taf,14/05/2020,1336,23
Swansea,14/05/2020,1188,11
Torfaen,14/05/2020,315,1
Vale of Glamorgan,14/05/2020,581,5
Wrexham,14/05/2020,381,16
Anglesey,15/05/2020,144,3
Blaenau Gwent,15/05/2020,314,0
Bridgend,15/05/2020,472,6
Caerphilly,15/05/2020,639,1
Cardiff,15/05/2020,1883,12
Carmarthenshire,15/05/2020,603,31
Ceredigion,15/05/2020,38,0
Conwy,15/05/2020,331,7
Denbighshire,15/05/2020,372,2
Flintshire,15/05/2020,364,2
Gwynedd,15/05/2020,318,1
Merthyr Tydfil,15/05/2020,320,4
Monmouthshire,15/05/2020,292,0
Neath Port Talbot,15/05/2020,548,5
Newport,15/05/2020,797,3
Pembrokeshire,15/05/2020,261,6
Powys,15/05/2020,227,0
Rhondda Cynon Taf,15/05/2020,1352,16
Swansea,15/05/2020,1202,14
Torfaen,15/05/2020,317,2
Vale of Glamorgan,15/05/2020,583,2
Wrexham,15/05/2020,386,5
Anglesey,16/05/2020,151,7
Blaenau Gwent,16/05/2020,314,0
Bridgend,16/05/2020,475,3
Caerphilly,16/05/2020,639,0
Cardiff,16/05/2020,1890,7
Carmarthenshire,16/05/2020,621,18
Ceredigion,16/05/2020,38,0
Conwy,16/05/2020,382,51
Denbighshire,16/05/2020,392,20
Flintshire,16/05/2020,372,8
Gwynedd,16/05/2020,324,6
Merthyr Tydfil,16/05/2020,324,4
Monmouthshire,16/05/2020,302,10
Neath Port Talbot,16/05/2020,548,0
Newport,16/05/2020,799,2
Pembrokeshire,16/05/2020,263,2
Powys,16/05/2020,232,5
Rhondda Cynon Taf,16/05/2020,1372,20
Swansea,16/05/2020,1208,6
Torfaen,16/05/2020,318,1
Vale of Glamorgan,16/05/2020,587,4
Wrexham,16/05/2020,392,6
Anglesey,17/05/2020,157,6
Blaenau Gwent,17/05/2020,315,1
Bridgend,17/05/2020,480,5
Caerphilly,17/05/2020,641,2
Cardiff,17/05/2020,1902,12
Carmarthenshire,17/05/2020,630,9
Ceredigion,17/05/2020,39,1
Conwy,17/05/2020,402,20
Denbighshire,17/05/2020,405,13
Flintshire,17/05/2020,382,10
Gwynedd,17/05/2020,333,9
Merthyr Tydfil,17/05/2020,326,2
Monmouthshire,17/05/2020,304,2
Neath Port Talbot,17/05/2020,555,7
Newport,17/05/2020,801,2
Pembrokeshire,17/05/2020,271,8
Powys,17/05/2020,241,9
Rhondda Cynon Taf,17/05/2020,1390,18
Swansea,17/05/2020,1212,4
Torfaen,17/05/2020,320,2
Vale of Glamorgan,17/05/2020,592,5
Wrexham,17/05/2020,403,11
Anglesey,18/05/2020,170,13
Blaenau Gwent,18/05/2020,316,1
Bridgend,18/05/2020,482,2
Caerphilly,18/05/2020,644,3
Cardiff,18/05/2020,1915,13
Carmarthenshire,18/05/2020,642,12
Ceredigion,18/05/2020,39,0
Conwy,18/05/2020,408,6
Denbighshire,18/05/2020,414,9
Flintshire,18/05/2020,384,2
Gwynedd,18/05/2020,341,8
Merthyr Tydfil,18/05/2020,327,1
Monmouthshire,18/05/2020,305,1
Neath Port Talbot,18/05/2020,558,3
Newport,18/05/2020,803,2
Pembrokeshire,18/05/2020,271,0
Powys,18/05/2020,244,3
Rhondda Cynon Taf,18/05/2020,1401,11
Swansea,18/05/2020,1216,4
Torfaen,18/05/2020,320,0
Vale of Glamorgan,18/05/2020,596,4
Wrexham,18/05/2020,406,3
Anglesey,19/05/2020,174,4
Blaenau Gwent,19/05/2020,321,5
Bridgend,19/05/2020,484,2
Caerphilly,19/05/2020,647,3
Cardiff,19/05/2020,1921,6
Carmarthenshire,19/05/2020,654,12
Ceredigion,19/05/2020,39,0
Conwy,19/05/2020,417,9
Denbighshire,19/05/2020,426,12
Flintshire,19/05/2020,402,18
Gwynedd,19/05/2020,348,7
Merthyr Tydfil,19/05/2020,335,8
Monmouthshire,19/05/2020,308,3
Neath Port Talbot,19/05/2020,582,24
Newport,19/05/2020,804,1
Pembrokeshire,19/05/2020,271,0
Powys,19/05/2020,246,2
Rhondda Cynon Taf,19/05/2020,1327,26
Swansea,19/05/2020,1218,2
Torfaen,19/05/2020,321,1
Vale of Glamorgan,19/05/2020,597,1
Wrexham,19/05/2020,423,17
Anglesey,20/05/2020,175,1
Blaenau Gwent,20/05/2020,322,2
Bridgend,20/05/2020,493,9
Caerphilly,20/05/2020,648,1
Cardiff,20/05/2020,1930,9
Carmarthenshire,20/05/2020,659,5
Ceredigion,20/05/2020,39,0
Conwy,20/05/2020,424,7
Denbighshire,20/05/2020,446,20
Flintshire,20/05/2020,405,3
Gwynedd,20/05/2020,355,7
Merthyr Tydfil,20/05/2020,335,0
Monmouthshire,20/05/2020,308,0
Neath Port Talbot,20/05/2020,586,4
Newport,20/05/2020,806,2
Pembrokeshire,20/05/2020,272,1
Powys,20/05/2020,249,3
Rhondda Cynon Taf,20/05/2020,1437,10
Swansea,20/05/2020,1222,4
Torfaen,20/05/2020,328,7
Vale of Glamorgan,20/05/2020,601,4
Wrexham,20/05/2020,433,10
Anglesey,21/05/2020,183,8
Blaenau Gwent,21/05/2020,327,5
Bridgend,21/05/2020,496,3
Caerphilly,21/05/2020,654,6
Cardiff,21/05/2020,1940,10
Carmarthenshire,21/05/2020,665,6
Ceredigion,21/05/2020,39,0
Conwy,21/05/2020,432,8
Denbighshire,21/05/2020,455,9
Flintshire,21/05/2020,409,4
Gwynedd,21/05/2020,368,13
Merthyr Tydfil,21/05/2020,350,15
Monmouthshire,21/05/2020,332,24
Neath Port Talbot,21/05/2020,587,1
Newport,21/05/2020,810,4
Pembrokeshire,21/05/2020,274,2
Powys,21/05/2020,251,2
Rhondda Cynon Taf,21/05/2020,1466,29
Swansea,21/05/2020,1225,3
Torfaen,21/05/2020,329,1
Vale of Glamorgan,21/05/2020,607,6
Wrexham,21/05/2020,435,2
Anglesey,22/05/2020,184,1
Blaenau Gwent,22/05/2020,327,0
Bridgend,22/05/2020,504,8
Caerphilly,22/05/2020,657,3
Cardiff,22/05/2020,1953,13
Carmarthenshire,22/05/2020,672,7
Ceredigion,22/05/2020,39,0
Conwy,22/05/2020,437,5
Denbighshire,22/05/2020,473,18
Flintshire,22/05/2020,412,3
Gwynedd,22/05/2020,375,7
Merthyr Tydfil,22/05/2020,359,9
Monmouthshire,22/05/2020,333,1
Neath Port Talbot,22/05/2020,588,1
Newport,22/05/2020,812,2
Pembrokeshire,22/05/2020,275,1
Powys,22/05/2020,253,2
Rhondda Cynon Taf,22/05/2020,1489,23
Swansea,22/05/2020,1237,12
Torfaen,22/05/2020,333,4
Vale of Glamorgan,22/05/2020,613,6
Wrexham,22/05/2020,446,11
Anglesey,23/05/2020,193,9
Blaenau Gwent,23/05/2020,329,2
Bridgend,23/05/2020,506,2
Caerphilly,23/05/2020,659,2
Cardiff,23/05/2020,1971,18
Carmarthenshire,23/05/2020,701,29
Ceredigion,23/05/2020,41,2
Conwy,23/05/2020,446,9
Denbighshire,23/05/2020,476,3
Flintshire,23/05/2020,421,9
Gwynedd,23/05/2020,380,5
Merthyr Tydfil,23/05/2020,365,6
Monmouthshire,23/05/2020,333,0
Neath Port Talbot,23/05/2020,592,4
Newport,23/05/2020,817,5
Pembrokeshire,23/05/2020,277,2
Powys,23/05/2020,255,2
Rhondda Cynon Taf,23/05/2020,1499,10
Swansea,23/05/2020,1245,8
Torfaen,23/05/2020,340,7
Vale of Glamorgan,23/05/2020,619,6
Wrexham,23/05/2020,483,37
Anglesey,24/05/2020,194,1
Blaenau Gwent,24/05/2020,329,0
Bridgend,24/05/2020,507,1
Caerphilly,24/05/2020,668,9
Cardiff,24/05/2020,1981,10
Carmarthenshire,24/05/2020,713,12
Ceredigion,24/05/2020,41,0
Conwy,24/05/2020,455,9
Denbighshire,24/05/2020,507,31
Flintshire,24/05/2020,424,3
Gwynedd,24/05/2020,482,2
Merthyr Tydfil,24/05/2020,374,9
Monmouthshire,24/05/2020,333,0
Neath Port Talbot,24/05/2020,593,1
Newport,24/05/2020,821,4
Pembrokeshire,24/05/2020,277,0
Powys,24/05/2020,266,11
Rhondda Cynon Taf,24/05/2020,1523,24
Swansea,24/05/2020,1248,3
Torfaen,24/05/2020,340,0
Vale of Glamorgan,24/05/2020,622,3
Wrexham,24/05/2020,489,6
Anglesey,25/05/2020,201,7
Blaenau Gwent,25/05/2020,330,1
Bridgend,25/05/2020,509,2
Caerphilly,25/05/2020,673,5
Cardiff,25/05/2020,1992,11
Carmarthenshire,25/05/2020,721,8
Ceredigion,25/05/2020,41,0
Conwy,25/05/2020,474,19
Denbighshire,25/05/2020,530,22
Flintshire,25/05/2020,428,4
Gwynedd,25/05/2020,387,5
Merthyr Tydfil,25/05/2020,377,3
Monmouthshire,25/05/2020,333,0
Neath Port Talbot,25/05/2020,595,2
Newport,25/05/2020,821,0
Pembrokeshire,25/05/2020,277,0
Powys,25/05/2020,270,4
Rhondda Cynon Taf,25/05/2020,1432,9
Swansea,25/05/2020,1249,1
Torfaen,25/05/2020,341,1
Vale of Glamorgan,25/05/2020,623,1
Wrexham,25/05/2020,490,1
Anglesey,26/05/2020,204,3
Blaenau Gwent,26/05/2020,331,1
Bridgend,26/05/2020,513,4
Caerphilly,26/05/2020,680,7
Cardiff,26/05/2020,2012,20
Carmarthenshire,26/05/2020,723,2
Ceredigion,26/05/2020,42,1
Conwy,26/05/2020,490,16
Denbighshire,26/05/2020,542,12
Flintshire,26/05/2020,440,12
Gwynedd,26/05/2020,389,2
Merthyr Tydfil,26/05/2020,382,5
Monmouthshire,26/05/2020,333,0
Neath Port Talbot,26/05/2020,596,2
Newport,26/05/2020,827,6
Pembrokeshire,26/05/2020,278,1
Powys,26/05/2020,272,2
Rhondda Cynon Taf,26/05/2020,1549,17
Swansea,26/05/2020,1250,1
Torfaen,26/05/2020,342,1
Vale of Glamorgan,26/05/2020,627,4
Wrexham,26/05/2020,512,22
Anglesey,27/05/2020,208,4
Blaenau Gwent,27/05/2020,333,2
Bridgend,27/05/2020,513,0
Caerphilly,27/05/2020,681,1
Cardiff,27/05/2020,2022,10
Carmarthenshire,27/05/2020,724,1
Ceredigion,27/05/2020,42,0
Conwy,27/05/2020,497,7
Denbighshire,27/05/2020,546,4
Flintshire,27/05/2020,444,4
Gwynedd,27/05/2020,395,6
Merthyr Tydfil,27/05/2020,384,2
Monmouthshire,27/05/2020,337,4
Neath Port Talbot,27/05/2020,598,1
Newport,27/05/2020,829,1
Pembrokeshire,27/05/2020,278,0
Powys,27/05/2020,276,4
Rhondda Cynon Taf,27/05/2020,1566,17
Swansea,27/05/2020,1257,7
Torfaen,27/05/2020,342,0
Vale of Glamorgan,27/05/2020,632,4
Wrexham,27/05/2020,529,17
Anglesey,28/05/2020,209,1
Blaenau Gwent,28/05/2020,333,0
Bridgend,28/05/2020,514,0
Caerphilly,28/05/2020,684,3
Cardiff,28/05/2020,2028,6
Carmarthenshire,28/05/2020,724,0
Ceredigion,28/05/2020,42,0
Conwy,28/05/2020,501,4
Denbighshire,28/05/2020,555,9
Flintshire,28/05/2020,445,1
Gwynedd,28/05/2020,399,4
Merthyr Tydfil,28/05/2020,387,3
Monmouthshire,28/05/2020,338,1
Neath Port Talbot,28/05/2020,599,1
Newport,28/05/2020,829,0
Pembrokeshire,28/05/2020,278,0
Powys,28/05/2020,281,5
Rhondda Cynon Taf,28/05/2020,1573,7
Swansea,28/05/2020,1262,5
Torfaen,28/05/2020,343,1
Vale of Glamorgan,28/05/2020,641,9
Wrexham,28/05/2020,540,11
Anglesey,29/05/2020,214,5
Blaenau Gwent,29/05/2020,333,0
Bridgend,29/05/2020,514,0
Caerphilly,29/05/2020,684,0
Cardiff,29/05/2020,2036,8
Carmarthenshire,29/05/2020,724,0
Ceredigion,29/05/2020,42,0
Conwy,29/05/2020,514,13
Denbighshire,29/05/2020,576,21
Flintshire,29/05/2020,447,2
Gwynedd,29/05/2020,406,7
Merthyr Tydfil,29/05/2020,390,3
Monmouthshire,29/05/2020,339,1
Neath Port Talbot,29/05/2020,602,2
Newport,29/05/2020,833,4
Pembrokeshire,29/05/2020,278,0
Powys,29/05/2020,283,2
Rhondda Cynon Taf,29/05/2020,1591,18
Swansea,29/05/2020,1264,2
Torfaen,29/05/2020,343,0
Vale of Glamorgan,29/05/2020,645,4
Wrexham,29/05/2020,548,8
Anglesey,30/05/2020,220,6
Blaenau Gwent,30/05/2020,334,1
Bridgend,30/05/2020,517,3
Caerphilly,30/05/2020,686,2
Cardiff,30/05/2020,2047,11
Carmarthenshire,30/05/2020,724,0
Ceredigion,30/05/2020,42,0
Conwy,30/05/2020,518,4
Denbighshire,30/05/2020,583,7
Flintshire,30/05/2020,450,3
Gwynedd,30/05/2020,416,10
Merthyr Tydfil,30/05/2020,392,2
Monmouthshire,30/05/2020,340,1
Neath Port Talbot,30/05/2020,603,1
Newport,30/05/2020,836,3
Pembrokeshire,30/05/2020,278,0
Powys,30/05/2020,284,1
Rhondda Cynon Taf,30/05/2020,1608,17
Swansea,30/05/2020,1264,0
Torfaen,30/05/2020,344,1
Vale of Glamorgan,30/05/2020,652,7
Wrexham,30/05/2020,553,5
Anglesey,31/05/2020,222,2
Blaenau Gwent,31/05/2020,334,0
Bridgend,31/05/2020,520,3
Caerphilly,31/05/2020,691,5
Cardiff,31/05/2020,2065,18
Carmarthenshire,31/05/2020,726,2
Ceredigion,31/05/2020,42,0
Conwy,31/05/2020,523,5
Denbighshire,31/05/2020,595,12
Flintshire,31/05/2020,452,2
Gwynedd,31/05/2020,420,4
Merthyr Tydfil,31/05/2020,396,4
Monmouthshire,31/05/2020,340,0
Neath Port Talbot,31/05/2020,603,0
Newport,31/05/2020,841,5
Pembrokeshire,31/05/2020,278,0
Powys,31/05/2020,285,1
Rhondda Cynon Taf,31/05/2020,1617,9
Swansea,31/05/2020,1264,1
Torfaen,31/05/2020,346,2
Vale of Glamorgan,31/05/2020,654,2
Wrexham,31/05/2020,558,5
Anglesey,01/06/2020,222,0
Blaenau Gwent,01/06/2020,334,0
Bridgend,01/06/2020,523,3
Caerphilly,01/06/2020,692,1
Cardiff,01/06/2020,2072,7
Carmarthenshire,01/06/2020,729,3
Ceredigion,01/06/2020,42,0
Conwy,01/06/2020,531,8
Denbighshire,01/06/2020,596,1
Flintshire,01/06/2020,455,3
Gwynedd,01/06/2020,421,1
Merthyr Tydfil,01/06/2020,401,5
Monmouthshire,01/06/2020,342,2
Neath Port Talbot,01/06/2020,604,1
Newport,01/06/2020,841,0
Pembrokeshire,01/06/2020,278,0
Powys,01/06/2020,285,0
Rhondda Cynon Taf,01/06/2020,1631,14
Swansea,01/06/2020,1267,2
Torfaen,01/06/2020,346,0
Vale of Glamorgan,01/06/2020,658,4
Wrexham,01/06/2020,562,4
Anglesey,02/06/2020,225,3
Blaenau Gwent,02/06/2020,334,0
Bridgend,02/06/2020,523,0
Caerphilly,02/06/2020,697,5
Cardiff,02/06/2020,2080,8
Carmarthenshire,02/06/2020,732,3
Ceredigion,02/06/2020,42,0
Conwy,02/06/2020,544,13
Denbighshire,02/06/2020,606,10
Flintshire,02/06/2020,456,1
Gwynedd,02/06/2020,427,6
Merthyr Tydfil,02/06/2020,402,1
Monmouthshire,02/06/2020,342,0
Neath Port Talbot,02/06/2020,606,2
Newport,02/06/2020,841,0
Pembrokeshire,02/06/2020,279,1
Powys,02/06/2020,286,1
Rhondda Cynon Taf,02/06/2020,1639,8
Swansea,02/06/2020,1267,0
Torfaen,02/06/2020,346,0
Vale of Glamorgan,02/06/2020,660,2
Wrexham,02/06/2020,565,3
Anglesey,03/06/2020,231,6
Blaenau Gwent,03/06/2020,335,1
Bridgend,03/06/2020,524,1
Caerphilly,03/06/2020,698,1
Cardiff,03/06/2020,2087,7
Carmarthenshire,03/06/2020,734,2
Ceredigion,03/06/2020,42,0
Conwy,03/06/2020,550,6
Denbighshire,03/06/2020,621,15
Flintshire,03/06/2020,461,5
Gwynedd,03/06/2020,439,12
Merthyr Tydfil,03/06/2020,402,0
Monmouthshire,03/06/2020,346,4
Neath Port Talbot,03/06/2020,606,0
Newport,03/06/2020,842,1
Pembrokeshire,03/06/2020,279,0
Powys,03/06/2020,286,0
Rhondda Cynon Taf,03/06/2020,1649,10
Swansea,03/06/2020,1267,0
Torfaen,03/06/2020,346,0
Vale of Glamorgan,03/06/2020,661,1
Wrexham,03/06/2020,574,9
Anglesey,04/06/2020,234,3
Blaenau Gwent,04/06/2020,335,0
Bridgend,04/06/2020,525,1
Caerphilly,04/06/2020,700,2
Cardiff,04/06/2020,2097,10
Carmarthenshire,04/06/2020,734,0
Ceredigion,04/06/2020,42,0
Conwy,04/06/2020,550,0
Denbighshire,04/06/2020,626,5
Flintshire,04/06/2020,462,1
Gwynedd,04/06/2020,442,3
Merthyr Tydfil,04/06/2020,402,0
Monmouthshire,04/06/2020,347,1
Neath Port Talbot,04/06/2020,606,0
Newport,04/06/2020,842,0
Pembrokeshire,04/06/2020,279,0
Powys,04/06/2020,287,1
Rhondda Cynon Taf,04/06/2020,1654,5
Swansea,04/06/2020,1268,1
Torfaen,04/06/2020,346,0
Vale of Glamorgan,04/06/2020,662,1
Wrexham,04/06/2020,574,0
Anglesey,05/06/2020,234,0
Blaenau Gwent,05/06/2020,335,0
Bridgend,05/06/2020,527,2
Caerphilly,05/06/2020,701,1
Cardiff,05/06/2020,2108,11
Carmarthenshire,05/06/2020,735,1
Ceredigion,05/06/2020,42,0
Conwy,05/06/2020,558,8
Denbighshire,05/06/2020,647,21
Flintshire,05/06/2020,466,4
Gwynedd,05/06/2020,445,3
Merthyr Tydfil,05/06/2020,403,1
Monmouthshire,05/06/2020,348,1
Neath Port Talbot,05/06/2020,609,3
Newport,05/06/2020,842,0
Pembrokeshire,05/06/2020,279,0
Powys,05/06/2020,287,0
Rhondda Cynon Taf,05/06/2020,1662,8
Swansea,05/06/2020,1270,2
Torfaen,05/06/2020,346,0
Vale of Glamorgan,05/06/2020,664,2
Wrexham,05/06/2020,581,7
Anglesey,06/06/2020,235,1
Blaenau Gwent,06/06/2020,335,0
Bridgend,06/06/2020,528,1
Caerphilly,06/06/2020,701,0
Cardiff,06/06/2020,2117,9
Carmarthenshire,06/06/2020,736,1
Ceredigion,06/06/2020,43,1
Conwy,06/06/2020,561,3
Denbighshire,06/06/2020,651,4
Flintshire,06/06/2020,468,2
Gwynedd,06/06/2020,451,6
Merthyr Tydfil,06/06/2020,404,1
Monmouthshire,06/06/2020,348,0
Neath Port Talbot,06/06/2020,609,0
Newport,06/06/2020,842,0
Pembrokeshire,06/06/2020,279,0
Powys,06/06/2020,290,3
Rhondda Cynon Taf,06/06/2020,1664,2
Swansea,06/06/2020,1271,1
Torfaen,06/06/2020,346,0
Vale of Glamorgan,06/06/2020,666,2
Wrexham,06/06/2020,586,5
Anglesey,07/06/2020,236,1
Blaenau Gwent,07/06/2020,335,0
Bridgend,07/06/2020,529,1
Caerphilly,07/06/2020,701,0
Cardiff,07/06/2020,2124,7
Carmarthenshire,07/06/2020,737,1
Ceredigion,07/06/2020,43,0
Conwy,07/06/2020,563,2
Denbighshire,07/06/2020,655,4
Flintshire,07/06/2020,471,3
Gwynedd,07/06/2020,452,1
Merthyr Tydfil,07/06/2020,406,2
Monmouthshire,07/06/2020,349,1
Neath Port Talbot,07/06/2020,610,1
Newport,07/06/2020,846,4
Pembrokeshire,07/06/2020,279,0
Powys,07/06/2020,292,2
Rhondda Cynon Taf,07/06/2020,1671,7
Swansea,07/06/2020,1271,0
Torfaen,07/06/2020,346,0
Vale of Glamorgan,07/06/2020,666,0
Wrexham,07/06/2020,589,3
Anglesey,08/06/2020,239,3
Blaenau Gwent,08/06/2020,335,0
Bridgend,08/06/2020,530,1
Caerphilly,08/06/2020,701,0
Cardiff,08/06/2020,2134,10
Carmarthenshire,08/06/2020,737,0
Ceredigion,08/06/2020,44,1
Conwy,08/06/2020,565,2
Denbighshire,08/06/2020,661,6
Flintshire,08/06/2020,472,1
Gwynedd,08/06/2020,456,4
Merthyr Tydfil,08/06/2020,406,0
Monmouthshire,08/06/2020,349,0
Neath Port Talbot,08/06/2020,610,0
Newport,08/06/2020,846,0
Pembrokeshire,08/06/2020,279,0
Powys,08/06/2020,292,0
Rhondda Cynon Taf,08/06/2020,1678,7
Swansea,08/06/2020,1271,0
Torfaen,08/06/2020,346,0
Vale of Glamorgan,08/06/2020,668,2
Wrexham,08/06/2020,593,4
Anglesey,09/06/2020,239,0
Blaenau Gwent,09/06/2020,335,0
Bridgend,09/06/2020,532,2
Caerphilly,09/06/2020,701,0
Cardiff,09/06/2020,2140,6
Carmarthenshire,09/06/2020,738,1
Ceredigion,09/06/2020,44,0
Conwy,09/06/2020,567,2
Denbighshire,09/06/2020,664,3
Flintshire,09/06/2020,475,3
Gwynedd,09/06/2020,458,2
Merthyr Tydfil,09/06/2020,406,0
Monmouthshire,09/06/2020,349,0
Neath Port Talbot,09/06/2020,611,1
Newport,09/06/2020,846,0
Pembrokeshire,09/06/2020,280,1
Powys,09/06/2020,295,3
Rhondda Cynon Taf,09/06/2020,1689,11
Swansea,09/06/2020,1273,2
Torfaen,09/06/2020,346,0
Vale of Glamorgan,09/06/2020,670,2
Wrexham,09/06/2020,596,3
Anglesey,10/06/2020,242,3
Blaenau Gwent,10/06/2020,335,0
Bridgend,10/06/2020,532,0
Caerphilly,10/06/2020,702,1
Cardiff,10/06/2020,2145,5
Carmarthenshire,10/06/2020,740,2
Ceredigion,10/06/2020,45,1
Conwy,10/06/2020,575,8
Denbighshire,10/06/2020,674,10
Flintshire,10/06/2020,475,0
Gwynedd,10/06/2020,460,2
Merthyr Tydfil,10/06/2020,406,0
Monmouthshire,10/06/2020,350,1
Neath Port Talbot,10/06/2020,611,0
Newport,10/06/2020,847,1
Pembrokeshire,10/06/2020,280,0
Powys,10/06/2020,295,0
Rhondda Cynon Taf,10/06/2020,1691,2
Swansea,10/06/2020,1273,0
Torfaen,10/06/2020,346,0
Vale of Glamorgan,10/06/2020,372,2
Wrexham,10/06/2020,596,0
Anglesey,11/06/2020,243,1
Blaenau Gwent,11/06/2020,337,2
Bridgend,11/06/2020,533,1
Caerphilly,11/06/2020,706,4
Cardiff,11/06/2020,2160,15
Carmarthenshire,11/06/2020,741,1
Ceredigion,11/06/2020,45,0
Conwy,11/06/2020,581,6
Denbighshire,11/06/2020,675,1
Flintshire,11/06/2020,478,3
Gwynedd,11/06/2020,465,5
Merthyr Tydfil,11/06/2020,406,0
Monmouthshire,11/06/2020,350,0
Neath Port Talbot,11/06/2020,613,2
Newport,11/06/2020,848,1
Pembrokeshire,11/06/2020,280,0
Powys,11/06/2020,296,1
Rhondda Cynon Taf,11/06/2020,1698,7
Swansea,11/06/2020,1276,3
Torfaen,11/06/2020,346,0
Vale of Glamorgan,11/06/2020,677,5
Wrexham,11/06/2020,601,5
Anglesey,12/06/2020,244,1
Blaenau Gwent,12/06/2020,338,1
Bridgend,12/06/2020,538,5
Caerphilly,12/06/2020,706,0
Cardiff,12/06/2020,2171,11
Carmarthenshire,12/06/2020,741,0
Ceredigion,12/06/2020,46,1
Conwy,12/06/2020,584,3
Denbighshire,12/06/2020,679,4
Flintshire,12/06/2020,485,7
Gwynedd,12/06/2020,469,4
Merthyr Tydfil,12/06/2020,418,12
Monmouthshire,12/06/2020,350,0
Neath Port Talbot,12/06/2020,613,0
Newport,12/06/2020,849,1
Pembrokeshire,12/06/2020,281,1
Powys,12/06/2020,296,0
Rhondda Cynon Taf,12/06/2020,1707,9
Swansea,12/06/2020,1278,2
Torfaen,12/06/2020,347,1
Vale of Glamorgan,12/06/2020,684,7
Wrexham,12/06/2020,607,6
Anglesey,13/06/2020,250,6
Blaenau Gwent,13/06/2020,338,0
Bridgend,13/06/2020,539,1
Caerphilly,13/06/2020,706,0
Cardiff,13/06/2020,2174,3
Carmarthenshire,13/06/2020,745,4
